Date,Ping (ms),Download (Mb/s),Upload (Mb/s)
1/1/2019,1.23,45.00,34.06
1/2/2019,1.82,44.61,36.32
1/3/2019,1.47,44.99,32.61
1/4/2019,1.45,45.69,22.94
1/5/2019,1.68,20.24,19.65
1/6/2019,1.49,47.61,42.63
1/7/2019,1.34,36.46,8.47
1/8/2019,1.30,45.35,44.11
1/9/2019,1.20,47.03,47.28
1/10/2019,1.30,47.66,46.41
1/11/2019,1.49,44.44,43.34
1/12/2019,1.45,46.28,44.95
1/13/2019,1.63,41.30,29.60
1/14/2019,1.30,41.42,31.16
1/15/2019,1.43,46.63,34.14
1/16/2019,1.67,44.29,44.70
1/17/2019,1.55,18.80,28.09
1/18/2019,1.39,31.86,18.78
1/19/2019,1.77,37.22,18.86
1/20/2019,1.50,45.60,18.95
1/21/2019,1.48,45.62,46.25
1/22/2019,1.33,21.75,12.85
1/23/2019,1.34,22.66,9.84
1/24/2019,9.75,13.42,10.45
1/25/2019,3.75,13.65,12.46
1/26/2019,6.26,11.91,6.49
1/27/2019,1.73,43.95,26.00
1/28/2019,1.51,45.70,43.93
1/29/2019,1.52,41.66,21.89
1/30/2019,1.52,14.76,8.07
1/31/2019,1.59,16.12,9.62
2/1/2019,1.21,33.50,42.62
2/2/2019,1.68,45.07,43.72
2/3/2019,1.55,46.76,37.01
2/4/2019,1.53,46.83,46.00
2/5/2019,1.24,46.86,32.22
2/6/2019,1.60,45.40,22.60
2/7/2019,1.58,44.55,22.74
2/8/2019,1.68,43.14,18.87
2/9/2019,1.43,44.85,18.02
2/10/2019,1.45,46.72,29.14
2/11/2019,1.46,45.43,33.00
2/12/2019,1.29,44.05,21.36
2/13/2019,1.37,45.80,37.40
2/14/2019,1.43,42.99,30.03
2/15/2019,1.82,12.23,9.73
2/16/2019,1.63,46.57,42.46
2/17/2019,1.61,45.28,27.62
2/18/2019,1.53,43.68,43.77
2/19/2019,1.42,45.32,43.79
2/20/2019,1.60,44.17,46.70
2/21/2019,1.73,10.81,20.09
2/22/2019,1.78,19.84,19.71
2/23/2019,1.32,46.48,42.31
2/24/2019,1.56,43.41,37.66
2/25/2019,1.21,46.62,44.38
2/26/2019,1.43,43.74,40.73
2/27/2019,1.40,11.30,8.06
2/28/2019,1.99,19.40,22.92
3/1/2019,2.14,8.69,10.40
3/2/2019,1.64,20.50,13.35
3/3/2019,1.49,26.22,25.75
3/4/2019,1.46,35.16,39.28
3/5/2019,1.22,18.58,33.23
3/6/2019,1.44,35.84,42.84
3/7/2019,1.57,44.54,43.83
3/8/2019,1.86,25.81,29.77
3/9/2019,1.46,18.50,13.55
3/10/2019,1.36,25.14,32.63
3/11/2019,1.34,42.42,40.14
3/12/2019,1.38,39.24,44.65
3/13/2019,1.47,37.72,38.60
3/14/2019,1.64,41.18,42.11
3/15/2019,1.87,31.47,29.45
3/16/2019,1.61,44.21,40.35
3/17/2019,1.61,43.04,42.59
3/18/2019,1.43,45.96,44.94
3/19/2019,1.82,42.58,34.18
3/20/2019,1.26,43.76,35.90
3/21/2019,1.29,42.97,43.77
3/22/2019,8.38,8.66,24.66
3/23/2019,1.62,36.36,36.17
3/24/2019,1.33,41.44,44.08
3/25/2019,1.70,34.22,32.41
3/26/2019,1.32,40.92,40.96
3/27/2019,1.21,44.12,40.97
3/28/2019,1.37,43.83,40.64
3/29/2019,1.57,44.33,40.73
3/30/2019,1.89,41.81,42.08
3/31/2019,1.58,39.45,38.43
