Artist,Frequency
Crown The Empire,15
Secrets,15
Bring Me The Horizon,54
Linkin Park,45
The Amity Affliction,62
Lights,2
Palisades,11
You Me At Six,1
Oli Sykes,1
While She Sleeps,11
12 Stones,1
Pusha T,1
Stormzy,1
Northern Ghost,6
Thousand Below,23
NF,40
Page Hamilton,1
Daron Malakian,1
MAN WITH A MISSION,1
Adept,10
The Plot In You,19
Landon Tewers,2
Dead By Sunrise,4
From Ashes to New,31
Wage War,3
This Wild Life,1
Counterparts,1
BROCKHAMPTON,23
Hollywood Undead,28
Brockhampton,3
Ankor,3
Nothing But Thieves,3
The Plot in You,1
Architects,13
Breaking Benjamin,1
I Prevail,36
blessthefall,21
Of Mice & Men,24
Dreamhouse,1
Beartooth,30
Queen,1
Wildways,9
Grimes,1
Dani Filth,1
Rahzel,1
Mike Shinoda,19
blackbear,1
K.Flay,1
Chino Moreno,1
Machine Gun Kelly,1
grandson,3
Get Scared,2
Falling In Reverse,19
Delaney Jane,1
Justin Stone,1
"Myka, Relocate",1
Deuce,1
League of Legends,2
Against The Current,1
Mark Morton,1
Chester Bennington,1
Our Last Night,11
Anson Seabra,2
Sarcastic Sounds,1
updog,3
joegarratt,1
Zero 9:36,16
boonn,1
Sasha Sloan,2
The Glitch Mob,1
Mako,1
The Word Alive,1
Imagine Dragons,1
Thirty Seconds To Mars,1
8 Graves,10
Halocene,1
Dangerkids,1
Fall Out Boy,3
Steven McNair,1
SawanoHiroyuki[nZk]:Yosh,1
A Flock Of Seagulls,1
Michael McGough,1
Marcus Bridge,1
Being As An Ocean,5
Awaken the Giant,2
Death Stranding: Timefall,1
Deberg,12
LiL Lotus,1
Survive Said The Prophet,2
Moby Rich,1
Frank Sinatra,1
Gary Glitter,1
EDEN,1
We Came As Romans,1
Tommee Profitt,1
Fleurie,1
Jung Youth,1
Papa Roach,15
The Offspring,1
Thousand Foot Krutch,10
Titan Slayer,1
Zack Hemsey,1
Innerpartysystem,1
The Paper Melody,1
Skip The Foreplay,1
N.E.R.D,1
Papercut Massacre,1
Normandie,2
Captain Ahab,1
Skillet,4
Bad Wolves,1
Lauren Sanderson,1
All Good Things,2
Cream,1
Chelsea Grin,1
Lou Bega,1
Footloose,1
Mötley Crüe,2
Joji,1
Three Days Grace,25
Make Them Suffer,1
Dabin,1
Essenger,1
ILLENIUM,1
Excision,1
Tom Day,1
Paige Garabito,1
